system:index,B11,B12,B3,B4,B5,B6,B7,B8,B8A,NBRI,NDMI,NDVI,NDWI,SAVI,VH,VH_variance,VV,VV_VH,VV_variance,class,latitude_209564535,longitude_209564535,.geo
4327,0.20435,0.0977,0.11235,0.0921,0.12035,0.2788,0.3547,0.3142,0.39345,0.525613,0.21184075,0.5466404,-0.47321534,0.36759353,-16.197517,0.4930007541909731,-10.305896,-0.22229673,0.34558191972180907,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.29912808800377,-1.977531304168737]}"
4328,0.1721,0.0696,0.0886,0.0627,0.0855,0.2128,0.2861,0.2639,0.323,0.5826087,0.2105505,0.6160441,-0.49730498,0.3651101,-14.910262,0.397301190075396,-7.562619,-0.32695597,0.34887372060634547,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75051757005863,-1.4447328481686121]}"
4329,0.162,0.06035,0.08805,0.05985,0.08195,0.2228,0.3006,0.28005,0.3409,0.64541715,0.26705125,0.64783764,-0.5215974,0.3932611,-14.675884,0.3650147505521583,-7.377578,-0.330937,0.3547450210934153,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76377219803533,-1.4250251438959036]}"
4330,0.1911,0.07875,0.09005,0.06245,0.0916,0.25525,0.34525,0.3099,0.3812,0.59475106,0.23712572,0.6645629,-0.5496937,0.42548862,-13.450238,0.47228343948604845,-6.584784,-0.34267265,0.3642410123892663,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.30581169834556,-1.963659568486664]}"
4331,0.1494,0.0574,0.08655,0.06015,0.0751,0.20955,0.29325,0.2782,0.32495,0.6579261,0.3012161,0.644451,-0.5254284,0.39014134,-14.672205,0.4469453298700472,-7.0374618,-0.35167482,0.36289377337477546,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76982444834877,-1.4428261268527933]}"
4332,0.1654,0.06505,0.0903,0.06285,0.0857,0.2263,0.3098,0.2934,0.348,0.6370484,0.27898866,0.6471579,-0.52931976,0.4038832,-14.723684,0.5506669112007074,-7.319981,-0.33586535,0.36264344124112213,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75094738068849,-1.4393089604526386]}"
4333,0.1689,0.0618,0.0859,0.0592,0.0773,0.2405,0.3279,0.3016,0.3682,0.6598789,0.2820404,0.67184037,-0.55664515,0.4223978,-14.251743,0.4091985937549083,-6.9502525,-0.34437755,0.3344572336056153,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76222793257728,-1.4258475701651887]}"
4334,0.2268,0.1005,0.1196,0.0817,0.1282,0.2779,0.3692,0.3412,0.4109,0.54494,0.20140846,0.6136202,-0.4809028,0.42176834,-13.286181,0.35404649627415097,-7.245432,-0.294217,0.3660856800495136,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.31271788415515,-2.014028516995494]}"
4335,0.22355,0.08905,0.1026,0.06375,0.1058,0.3131,0.42325,0.37525,0.463,0.6164118,0.25334,0.7095672,-0.57057655,0.49760386,-13.91876,0.4213158418252476,-8.124303,-0.2628699,0.40181712963221194,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.30556268921863,-1.9884496644868128]}"
4336,0.18975,0.0736,0.09635,0.06755,0.1035,0.2723,0.3608,0.3144,0.4058,0.6206185,0.24724782,0.64628875,-0.53085816,0.4198367,-14.288769,0.41157474568332003,-7.1180453,-0.3349739,0.4309098055415639,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.30071490612306,-1.9749331858634358]}"
4337,0.2112,0.0854,0.0914,0.0571,0.0939,0.2707,0.3723,0.3526,0.4077,0.6100457,0.25079817,0.7212595,-0.5882883,0.48724854,-14.458103,0.42619235359433816,-6.763521,-0.36258215,0.3942362202841827,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.30723069721843,-1.9644714871802935]}"
4338,0.2373,0.104,0.1113,0.0762,0.1258,0.2744,0.353,0.3067,0.3985,0.4935476,0.12757353,0.60198486,-0.46746412,0.3916072,-15.246465,0.3959417368275808,-9.104029,-0.25225097,0.2993003134189382,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.31801295985167,-1.9677203071532412]}"
4339,0.17935,0.06735,0.09415,0.06695,0.09005,0.23145,0.3198,0.2984,0.36265,0.63171566,0.24918891,0.6335021,-0.5203159,0.40119606,-14.97051,0.569026060479068,-7.29952,-0.3444535,0.2535888424797754,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75274586813215,-1.4344823627819325]}"
